iter	Logloss
0	0.6751507976
1	0.6613625179
2	0.6496429487
3	0.635411528
4	0.625436333
5	0.6166220118
6	0.608779326
7	0.5995162905
8	0.5903957954
9	0.5827570485
10	0.576408273
11	0.5680293501
12	0.562159867
13	0.5572658502
14	0.5522967612
15	0.5479860141
16	0.5405320055
17	0.5355611856
18	0.5290228255
19	0.5256039105
20	0.5221569329
21	0.5189457417
22	0.5156835601
23	0.5096378545
24	0.5069256527
25	0.5040709797
26	0.4998837915
27	0.4973671514
28	0.4902078585
29	0.4879528752
30	0.4857777182
31	0.482624337
32	0.4802450564
33	0.4772797366
34	0.4738673412
35	0.4709982561
36	0.4642575263
37	0.4611262538
38	0.4543536015
39	0.4523174828
40	0.4439657226
41	0.442600829
42	0.4414271239
43	0.4364317723
44	0.4313484594
45	0.4301039399
46	0.4291181578
47	0.4280563688
48	0.4253953075
49	0.4234951289
50	0.4225474021
51	0.4185331882
52	0.4176474255
53	0.4088562167
54	0.4017766406
55	0.3992556446
56	0.3927159402
57	0.387790549
58	0.3859019555
59	0.3828641136
60	0.3781351612
61	0.3771476021
62	0.3759071097
63	0.3752597124
64	0.3746667558
65	0.37357185
66	0.3706972609
67	0.3685398392
68	0.3646441589
69	0.3639371515
70	0.3634103994
71	0.3602742575
72	0.3597696659
73	0.3590848825
74	0.3584535993
75	0.3576680696
76	0.3569431711
77	0.3550752149
78	0.3546559249
79	0.3519828458
80	0.3495281583
81	0.347018632
82	0.3452567878
83	0.342875782
84	0.3411675823
85	0.3397094138
86	0.3377346937
87	0.3332941625
88	0.3328716128
89	0.3301439661
90	0.3298145009
91	0.3287627623
92	0.3274487612
93	0.3228389539
94	0.3194737584
95	0.3186490194
96	0.3150247635
97	0.3146788553
98	0.3143789903
99	0.3126731531
100	0.3118659504
101	0.3115924749
102	0.311347665
103	0.309530809
104	0.3086885884
105	0.3073326952
106	0.3071003936
107	0.3048040836
108	0.3043456189
109	0.3033831079
110	0.3009332523
111	0.3004113264
112	0.2982041892
113	0.2978425564
114	0.2972424485
115	0.297076135
116	0.2969044589
117	0.2954828169
118	0.2942769701
119	0.2908950951
120	0.2884244492
121	0.286513199
122	0.2859550669
123	0.2847442064
124	0.2845604663
125	0.2840970688
126	0.2808267233
127	0.2805441234
128	0.2786480065
129	0.2756473027
130	0.27476064
131	0.2746102704
132	0.2742432229
133	0.2737273232
134	0.2733568198
135	0.2725581703
136	0.2720484901
137	0.2705139281
138	0.2701936017
139	0.2700699419
140	0.2699321181
141	0.2698103016
142	0.268718771
143	0.2679697966
144	0.2678783881
145	0.2666323714
146	0.2649948534
147	0.2646179401
148	0.2637107439
149	0.2624302114
150	0.2614060364
151	0.2606594245
152	0.2601148131
153	0.2592599517
154	0.2591548465
155	0.2588076056
156	0.258710543
157	0.258610036
158	0.2577677261
159	0.2576862699
160	0.2565135831
161	0.2563964948
162	0.2553983429
163	0.2549610493
164	0.2540923469
165	0.2539663505
166	0.2533145136
167	0.2523412801
168	0.2515975789
169	0.2511363593
170	0.2494115032
171	0.2489171697
172	0.2487890127
173	0.2486639393
174	0.2485794542
175	0.2477327392
176	0.2476604652
177	0.2475913268
178	0.2473330106
179	0.2472706023
180	0.2468299451
181	0.2457576989
182	0.2446663703
183	0.2444070559
184	0.2440090841
185	0.2439380101
186	0.2431966311
187	0.2431253609
188	0.242857329
189	0.2424485538
190	0.2423753134
191	0.2419673373
192	0.2416214377
193	0.2413229401
194	0.240882479
195	0.2404848909
196	0.2404216662
197	0.2403583925
198	0.2402456716
199	0.2401798103
200	0.2398438342
201	0.2397771277
202	0.2397110125
203	0.2391388375
204	0.2386985495
205	0.2386421963
206	0.2384887603
207	0.2382175494
208	0.2379720385
209	0.237913138
210	0.237556288
211	0.2374973241
212	0.2372715217
213	0.2371438868
214	0.2367267372
215	0.2366421338
216	0.2364800148
217	0.2364171017
218	0.2363428054
219	0.2361980438
220	0.2353105878
221	0.2348271399
222	0.2344878752
223	0.2333161246
224	0.2329304705
225	0.2328742817
226	0.2328131889
227	0.2326966572
228	0.2326322181
229	0.2320286745
230	0.2314844381
231	0.2314357525
232	0.2309760301
233	0.2309176691
234	0.2308392087
235	0.2307895798
236	0.2307417379
237	0.2299173739
238	0.2294043287
239	0.2292915082
240	0.2292364459
241	0.229166608
242	0.2287204294
243	0.2283799676
244	0.2280736322
245	0.2280292376
246	0.2279818111
247	0.2279211539
248	0.2271889484
249	0.2267771269
250	0.2267209194
251	0.226278452
252	0.2251830241
253	0.2238499088
254	0.2235530598
255	0.2227436141
256	0.2219867831
257	0.2210492899
258	0.2209785275
259	0.2209006714
260	0.2206170273
261	0.2204935319
262	0.2199814949
263	0.2197819162
264	0.2195747391
265	0.2194970604
266	0.2194266456
267	0.2193665696
268	0.2192093849
269	0.2191491748
270	0.2188177739
271	0.2187573301
272	0.2187053617
273	0.218654951
274	0.2185657709
275	0.2180215836
276	0.2179699945
277	0.2179103584
278	0.2176050124
279	0.2173856444
280	0.2173370944
281	0.2172896348
282	0.2170892988
283	0.2170392386
284	0.2169809094
285	0.216845451
286	0.2166881004
287	0.2166363887
288	0.2163134242
289	0.2162681181
290	0.216222998
291	0.2161885918
292	0.2161334992
293	0.2159149981
294	0.2157049578
295	0.2156557371
296	0.2155920292
297	0.2155629973
298	0.215509748
299	0.215394552
